checkpoint,method,basis,seed,state,extension,dataset,train_resolution,eval_resolution,train_side,eval_side,patch_size,test_count,score,loss,bias_rms_all,bias_max_all,bias_rms_near_r,bias_max_near_r,bias_rms_beyond_train_radius,bias_max_beyond_train_radius
MetricToric/results/v8_tinyimagenet_relative_10k_3seed/checkpoints/tiny-imagenet_reconstruction_relative_2d_table_seed626_holdoutR4_steps10000_h0_b0_cl20_tail0_g0_constant_s0_r0.pt,relative_table,relative_2d_table,626,best,no_pos,tiny-imagenet,32,64,8,16,4,10000,0.2113596796989441,0.9376134872436523,0.0,0.0,0.0,0.0,0.0,0.0
MetricToric/results/v8_tinyimagenet_relative_10k_3seed/checkpoints/tiny-imagenet_reconstruction_relative_2d_table_seed626_holdoutR4_steps10000_h0_b0_cl20_tail0_g0_constant_s0_r0.pt,relative_table,relative_2d_table,626,best,table_clamp,tiny-imagenet,32,64,8,16,4,10000,0.5957857370376587,0.480575829744339,0.019042206928133965,0.30308160185813904,0.06280439347028732,0.24994021654129028,0.0,0.0
MetricToric/results/v8_tinyimagenet_relative_10k_3seed/checkpoints/tiny-imagenet_reconstruction_relative_2d_table_seed626_holdoutR4_steps10000_h0_b0_cl20_tail0_g0_constant_s0_r0.pt,relative_table,relative_2d_table,626,best,radial_truncate_r4,tiny-imagenet,32,64,8,16,4,10000,0.6617031693458557,0.4024266004562378,0.014562446624040604,0.23361612856388092,0.06449083238840103,0.23361612856388092,0.0,0.0
MetricToric/results/v8_tinyimagenet_dct_top110_10k_3seed_from_relative10k_s426/checkpoints/tiny-imagenet_reconstruction_dct_top110_seed426_holdoutR4_steps10000_h1_b10_cl20_tail0_g0_constant_s0_r0.pt,dct_top110,dct_top110,426,best,functional,tiny-imagenet,32,32,8,8,4,10000,0.8648501634597778,0.13586238026618958,0.05867000296711922,1.4200904369354248,0.1180935725569725,1.4200904369354248,0.022037891671061516,0.12915824353694916
MetricToric/results/v8_tinyimagenet_dct_top110_10k_3seed_from_relative10k_s426/checkpoints/tiny-imagenet_reconstruction_dct_top110_seed426_holdoutR4_steps10000_h1_b10_cl20_tail0_g0_constant_s0_r0.pt,dct_top110,dct_top110,426,best,no_pos,tiny-imagenet,32,32,8,8,4,10000,0.2888314127922058,0.714471697807312,0.0,0.0,0.0,0.0,0.0,0.0
MetricToric/results/v8_tinyimagenet_dct_top110_10k_3seed_from_relative10k_s426/checkpoints/tiny-imagenet_reconstruction_dct_top110_seed426_holdoutR4_steps10000_h1_b10_cl20_tail0_g0_constant_s0_r0.pt,dct_top110,dct_top110,426,best,table_clamp,tiny-imagenet,32,32,8,8,4,10000,0.8648834228515625,0.1358361542224884,0.05867000296711922,1.4200899600982666,0.1180935725569725,1.4200899600982666,0.022037891671061516,0.12915824353694916
MetricToric/results/v8_tinyimagenet_dct_top110_10k_3seed_from_relative10k_s426/checkpoints/tiny-imagenet_reconstruction_dct_top110_seed426_holdoutR4_steps10000_h1_b10_cl20_tail0_g0_constant_s0_r0.pt,dct_top110,dct_top110,426,best,radial_truncate_r4,tiny-imagenet,32,32,8,8,4,10000,0.8662363886833191,0.1344885379076004,0.05511033162474632,1.4200904369354248,0.1180935725569725,1.4200904369354248,0.0,0.0
MetricToric/results/v8_tinyimagenet_dct_top110_10k_3seed_from_relative10k_s426/checkpoints/tiny-imagenet_reconstruction_dct_top110_seed426_holdoutR4_steps10000_h1_b10_cl20_tail0_g0_constant_s0_r0.pt,dct_top110,dct_top110,426,best,functional,tiny-imagenet,32,40,8,10,4,10000,0.8168697357177734,0.19054807722568512,0.05867000296711922,1.179353952407837,0.1431322693824768,1.179353952407837,0.02291886694729328,0.3348303735256195
MetricToric/results/v8_tinyimagenet_dct_top110_10k_3seed_from_relative10k_s426/checkpoints/tiny-imagenet_reconstruction_dct_top110_seed426_holdoutR4_steps10000_h1_b10_cl20_tail0_g0_constant_s0_r0.pt,dct_top110,dct_top110,426,best,no_pos,tiny-imagenet,32,40,8,10,4,10000,0.2882753014564514,0.7395635843276978,0.0,0.0,0.0,0.0,0.0,0.0
MetricToric/results/v8_tinyimagenet_dct_top110_10k_3seed_from_relative10k_s426/checkpoints/tiny-imagenet_reconstruction_dct_top110_seed426_holdoutR4_steps10000_h1_b10_cl20_tail0_g0_constant_s0_r0.pt,dct_top110,dct_top110,426,best,table_clamp,tiny-imagenet,32,40,8,10,4,10000,0.8620008230209351,0.14351461827754974,0.04890415817499161,1.420089840888977,0.11809355765581131,1.420089840888977,0.024359388276934624,0.2780776023864746
MetricToric/results/v8_tinyimagenet_dct_top110_10k_3seed_from_relative10k_s426/checkpoints/tiny-imagenet_reconstruction_dct_top110_seed426_holdoutR4_steps10000_h1_b10_cl20_tail0_g0_constant_s0_r0.pt,dct_top110,dct_top110,426,best,radial_truncate_r4,tiny-imagenet,32,40,8,10,4,10000,0.8188296556472778,0.18850179016590118,0.05273294076323509,1.179353952407837,0.1431322693824768,1.179353952407837,0.0,0.0
