ridge,train_r2,train_mse,coeff_norm,condition_number,effective_rank,layer,head,fit_target,order,phase_chart,jet_chart,chart_scale,num_centers,num_features
0.0001,0.8095868236966512,2.8629999820940195e-05,1.6102797184737865,2378103815061.251,45.941566141759495,0,0,axis_plus_residual,1,asinh,bounded,16.0,17,103
0.01,0.7415215091389323,3.88641127191738e-05,0.12380318067685961,2378103815061.251,45.941566141759495,0,0,axis_plus_residual,1,asinh,bounded,16.0,17,103
1e-08,0.6785648952155607,4.8330095485417004e-05,1.4137788483216576,2805941748574.492,40.08795033633118,0,0,axis_plus_residual,2,raw,raw,2.0,8,97
1e-06,0.6785628698844224,4.8330400008618886e-05,1.3962883922762157,2805941748574.492,40.08795033633118,0,0,axis_plus_residual,2,raw,raw,2.0,8,97
0.0001,0.6745638601291184,4.893168008177882e-05,0.6347526137204984,2805941748574.492,40.08795033633118,0,0,axis_plus_residual,2,raw,raw,2.0,8,97
0.01,0.6650506845145842,5.0362054919425476e-05,0.12571726034972525,2805941748574.492,40.08795033633118,0,0,axis_plus_residual,2,raw,raw,2.0,8,97
1e-08,0.6785648952155607,4.8330095485417004e-05,1.4137788483216576,2805941748574.492,40.08795033633118,0,0,axis_plus_residual,2,raw,raw,4.0,8,97
1e-06,0.6785628698844224,4.8330400008618886e-05,1.3962883922762157,2805941748574.492,40.08795033633118,0,0,axis_plus_residual,2,raw,raw,4.0,8,97
0.0001,0.6745638601291184,4.893168008177882e-05,0.6347526137204984,2805941748574.492,40.08795033633118,0,0,axis_plus_residual,2,raw,raw,4.0,8,97
0.01,0.6650506845145842,5.0362054919425476e-05,0.12571726034972525,2805941748574.492,40.08795033633118,0,0,axis_plus_residual,2,raw,raw,4.0,8,97
1e-08,0.6785648952155607,4.8330095485417004e-05,1.4137788483216576,2805941748574.492,40.08795033633118,0,0,axis_plus_residual,2,raw,raw,8.0,8,97
1e-06,0.6785628698844224,4.8330400008618886e-05,1.3962883922762157,2805941748574.492,40.08795033633118,0,0,axis_plus_residual,2,raw,raw,8.0,8,97
0.0001,0.6745638601291184,4.893168008177882e-05,0.6347526137204984,2805941748574.492,40.08795033633118,0,0,axis_plus_residual,2,raw,raw,8.0,8,97
0.01,0.6650506845145842,5.0362054919425476e-05,0.12571726034972525,2805941748574.492,40.08795033633118,0,0,axis_plus_residual,2,raw,raw,8.0,8,97
1e-08,0.6785648952155607,4.8330095485417004e-05,1.4137788483216576,2805941748574.492,40.08795033633118,0,0,axis_plus_residual,2,raw,raw,16.0,8,97
1e-06,0.6785628698844224,4.8330400008618886e-05,1.3962883922762157,2805941748574.492,40.08795033633118,0,0,axis_plus_residual,2,raw,raw,16.0,8,97
0.0001,0.6745638601291184,4.893168008177882e-05,0.6347526137204984,2805941748574.492,40.08795033633118,0,0,axis_plus_residual,2,raw,raw,16.0,8,97
0.01,0.6650506845145842,5.0362054919425476e-05,0.12571726034972525,2805941748574.492,40.08795033633118,0,0,axis_plus_residual,2,raw,raw,16.0,8,97
1e-08,0.6838264612700836,4.753898093061923e-05,0.8310750323008258,2782188001598.239,40.27601135610364,0,0,axis_plus_residual,2,raw,bounded,2.0,8,97
1e-06,0.6838262342428035,4.753901506581467e-05,0.8277677743805324,2782188001598.239,40.27601135610364,0,0,axis_plus_residual,2,raw,bounded,2.0,8,97
0.0001,0.6826836152779676,4.7710816100773185e-05,0.595498673798887,2782188001598.239,40.27601135610364,0,0,axis_plus_residual,2,raw,bounded,2.0,8,97
0.01,0.6703411597680241,4.956659365724175e-05,0.12435793338806338,2782188001598.239,40.27601135610364,0,0,axis_plus_residual,2,raw,bounded,2.0,8,97
1e-08,0.6813882565324254,4.7905582667735156e-05,0.9217387291626987,2792576481924.441,40.226816009249525,0,0,axis_plus_residual,2,raw,bounded,4.0,8,97
1e-06,0.6813879077583291,4.790563510844598e-05,0.9171530925737011,2792576481924.441,40.226816009249525,0,0,axis_plus_residual,2,raw,bounded,4.0,8,97
0.0001,0.6798579381084375,4.813567712367216e-05,0.6169294644059801,2792576481924.441,40.226816009249525,0,0,axis_plus_residual,2,raw,bounded,4.0,8,97
0.01,0.6677991070738252,4.994880968657679e-05,0.12493153173164678,2792576481924.441,40.226816009249525,0,0,axis_plus_residual,2,raw,bounded,4.0,8,97
1e-08,0.6794626960019252,4.819510463629686e-05,1.166890705302118,2801203896814.1953,40.14143692173359,0,0,axis_plus_residual,2,raw,bounded,8.0,8,97
1e-06,0.6794617665706795,4.8195244383014586e-05,1.1572057672804676,2801203896814.1953,40.14143692173359,0,0,axis_plus_residual,2,raw,bounded,8.0,8,97
0.0001,0.6767260835423683,4.860657413514223e-05,0.6399655895612675,2801203896814.1953,40.14143692173359,0,0,axis_plus_residual,2,raw,bounded,8.0,8,97
0.01,0.6659553513277148,5.02260317134648e-05,0.125376675284728,2801203896814.1953,40.14143692173359,0,0,axis_plus_residual,2,raw,bounded,8.0,8,97
1e-08,0.6788020664573322,4.8294435071882216e-05,1.3324630970028346,2804619751900.0576,40.10325623973491,0,0,axis_plus_residual,2,raw,bounded,16.0,8,97
1e-06,0.6788004715096223,4.829467488381928e-05,1.3178696539663053,2804619751900.0576,40.10325623973491,0,0,axis_plus_residual,2,raw,bounded,16.0,8,97
0.0001,0.6752132000288853,4.8834047126040294e-05,0.6386445820504054,2804619751900.0576,40.10325623973491,0,0,axis_plus_residual,2,raw,bounded,16.0,8,97
0.01,0.6652957578833728,5.032520636387511e-05,0.12561392679504868,2804619751900.0576,40.10325623973491,0,0,axis_plus_residual,2,raw,bounded,16.0,8,97
1e-08,0.7182821605230371,4.2358317057490624e-05,0.24092986300183378,3067619525985.607,39.552419431126935,0,0,axis_plus_residual,2,asinh,raw,2.0,8,97
